workload,batch,sm,block_count,elapsed_sum
compute,32,56,128,90920238
compute,32,57,128,90849735
compute,32,58,128,90756042
compute,32,59,128,90719769
compute,32,60,128,90766512
compute,32,61,128,90750643
compute,32,62,128,90842912
compute,32,63,128,90765477
compute,32,64,128,90937549
compute,32,65,128,90907533
compute,32,66,128,90923338
compute,32,67,128,90881750
compute,32,68,128,90855489
compute,32,69,128,90819829
compute,32,70,128,90786955
compute,32,71,128,90716466
compute,32,72,128,90788607
compute,32,73,128,90689773
compute,32,74,128,90845827
compute,32,75,128,90816501
compute,32,76,128,90944327
compute,32,77,128,90911921
compute,32,78,128,90958961
compute,32,79,128,90925688
compute,32,80,128,90864708
compute,32,81,128,90830534
compute,32,82,128,90864784
compute,32,83,128,90766283
compute,32,84,128,90733914
compute,32,85,128,90718540
compute,32,86,128,90887902
compute,32,87,128,90827084
compute,32,88,128,90873254
compute,32,89,128,90847405
compute,32,90,128,90811700
compute,32,91,128,90737166
compute,32,92,128,90722261
compute,32,93,128,90707374
compute,32,94,128,90705684
compute,32,95,128,90681921
compute,32,96,128,90820650
compute,32,97,128,90737879
compute,32,98,128,90910985
compute,32,99,128,90876355
compute,32,100,128,90913918
compute,32,101,128,90883024
compute,32,102,128,90831974
compute,32,103,128,90758270
compute,32,104,128,90769955
compute,32,105,128,90746240
compute,32,106,128,90735130
compute,32,107,128,90718051
compute,32,108,128,90821461
compute,32,109,128,90783079
compute,32,110,128,90842369
compute,32,111,128,90773082
compute,32,112,128,90721043
compute,32,113,128,90699852
compute,32,114,128,90713841
compute,32,115,128,90692023
compute,32,116,128,90683556
compute,32,117,128,90668773
compute,32,118,128,90734934
compute,32,119,128,90718228
compute,32,120,128,90890897
compute,32,121,128,90814566
compute,32,122,128,90888072
compute,32,123,128,90844950
compute,32,124,128,90728505
compute,32,125,128,90713625
compute,32,126,128,90751736
compute,32,127,128,90741814
compute,64,0,256,192295045
compute,64,1,256,192258769
compute,64,2,256,192268724
compute,64,3,256,192242541
compute,64,4,256,192189630
compute,64,5,256,192129882
compute,64,6,256,192192541
compute,64,7,256,192115409
compute,64,8,256,192223012
compute,64,9,256,192204790
compute,64,10,256,192322701
compute,64,11,256,192305194
compute,64,12,256,192371155
compute,64,13,256,192337900
compute,64,14,256,192256673
compute,64,15,256,192226668
compute,64,16,256,192275389
compute,64,17,256,192191768
compute,64,18,256,192141641
compute,64,19,256,192132254
compute,64,20,256,192290150
compute,64,21,256,192251387
compute,64,22,256,192254373
compute,64,23,256,192247252
compute,64,24,256,192238177
compute,64,25,256,192168541
compute,64,26,256,192118634
compute,64,27,256,192092887
compute,64,28,256,192087044
compute,64,29,256,192060650
compute,64,30,256,192198281
compute,64,31,256,192136791
compute,64,32,256,192298302
compute,64,33,256,192292828
compute,64,34,256,192321721
compute,64,35,256,192308502
compute,64,36,256,192234150
compute,64,37,256,192185142
