workload,batch,trace_id,kernel_run_id,sm,block_count,sched_event_count,sched_cycles_total,sched_mean_cycles,sched_p95_cycles,sched_max_cycles,work_cycles_total,block_elapsed_mean_cycles,block_elapsed_p95_cycles,inferred_slot_count
compute,8,Mar08_221120_1837392,2.229752,79,4,0,0,0.0,0.0,0,1999495,499873.75,589599.1499999999,4
compute,8,Mar08_221120_1837392,2.229752,80,4,0,0,0.0,0.0,0,2010683,502670.75,589253.0,4
compute,8,Mar08_221120_1837392,2.229752,81,4,0,0,0.0,0.0,0,1992909,498227.25,587520.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,82,4,0,0,0.0,0.0,0,1991394,497848.5,588094.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,83,4,0,0,0.0,0.0,0,1984154,496038.5,587232.5,4
compute,8,Mar08_221120_1837392,2.229752,84,4,0,0,0.0,0.0,0,1993578,498394.5,588300.7999999999,4
compute,8,Mar08_221120_1837392,2.229752,85,4,0,0,0.0,0.0,0,1983707,495926.75,587072.2999999999,4
compute,8,Mar08_221120_1837392,2.229752,86,4,0,0,0.0,0.0,0,2002579,500644.75,589844.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,87,4,0,0,0.0,0.0,0,2001841,500460.25,588235.25,4
compute,8,Mar08_221120_1837392,2.229752,88,4,0,0,0.0,0.0,0,1991863,497965.75,590021.0,4
compute,8,Mar08_221120_1837392,2.229752,89,4,0,0,0.0,0.0,0,1998608,499652.0,588351.25,4
compute,8,Mar08_221120_1837392,2.229752,90,4,0,0,0.0,0.0,0,1993765,498441.25,589593.1,4
compute,8,Mar08_221120_1837392,2.229752,91,4,0,0,0.0,0.0,0,1994414,498603.5,587944.7999999999,4
compute,8,Mar08_221120_1837392,2.229752,92,4,0,0,0.0,0.0,0,1990647,497661.75,590162.6,4
compute,8,Mar08_221120_1837392,2.229752,93,4,0,0,0.0,0.0,0,1989779,497444.75,588941.25,4
compute,8,Mar08_221120_1837392,2.229752,94,4,0,0,0.0,0.0,0,1979858,494964.5,588497.7,4
compute,8,Mar08_221120_1837392,2.229752,95,4,0,0,0.0,0.0,0,1981441,495360.25,587773.7,4
compute,8,Mar08_221120_1837392,2.229752,96,4,0,0,0.0,0.0,0,2003175,500793.75,589453.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,97,4,0,0,0.0,0.0,0,1980912,495228.0,588022.3999999999,4
compute,8,Mar08_221120_1837392,2.229752,98,4,0,0,0.0,0.0,0,2002483,500620.75,590197.2,4
compute,8,Mar08_221120_1837392,2.229752,99,4,0,0,0.0,0.0,0,2001956,500489.0,588594.0,4
compute,8,Mar08_221120_1837392,2.229752,100,4,0,0,0.0,0.0,0,2004826,501206.5,590397.7999999999,4
compute,8,Mar08_221120_1837392,2.229752,101,4,0,0,0.0,0.0,0,1991134,497783.5,588916.95,4
compute,8,Mar08_221120_1837392,2.229752,102,4,0,0,0.0,0.0,0,1993574,498393.5,588396.8999999999,4
compute,8,Mar08_221120_1837392,2.229752,103,4,0,0,0.0,0.0,0,1981512,495378.0,587606.2,4
compute,8,Mar08_221120_1837392,2.229752,104,4,0,0,0.0,0.0,0,1982883,495720.75,589528.5499999999,4
compute,8,Mar08_221120_1837392,2.229752,105,4,0,0,0.0,0.0,0,1986514,496628.5,588741.5499999999,4
compute,8,Mar08_221120_1837392,2.229752,106,4,0,0,0.0,0.0,0,2003035,500758.75,589122.45,4
compute,8,Mar08_221120_1837392,2.229752,107,4,0,0,0.0,0.0,0,1985669,496417.25,588305.1499999999,4
compute,8,Mar08_221120_1837392,2.229752,108,4,0,0,0.0,0.0,0,2001176,500294.0,589846.2999999999,4
compute,8,Mar08_221120_1837392,2.229752,109,4,0,0,0.0,0.0,0,2005325,501331.25,589066.6499999999,4
compute,8,Mar08_221120_1837392,2.229752,110,4,0,0,0.0,0.0,0,1984833,496208.25,590098.95,4
compute,8,Mar08_221120_1837392,2.229752,111,4,0,0,0.0,0.0,0,2007173,501793.25,588506.0,4
compute,8,Mar08_221120_1837392,2.229752,112,4,0,0,0.0,0.0,0,1989954,497488.5,589600.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,113,4,0,0,0.0,0.0,0,2000339,500084.75,588024.5,4
compute,8,Mar08_221120_1837392,2.229752,114,4,0,0,0.0,0.0,0,1981849,495462.25,587832.45,4
compute,8,Mar08_221120_1837392,2.229752,115,4,0,0,0.0,0.0,0,1988877,497219.25,586941.1,4
compute,8,Mar08_221120_1837392,2.229752,116,4,0,0,0.0,0.0,0,1986672,496668.0,588660.85,4
compute,8,Mar08_221120_1837392,2.229752,117,4,0,0,0.0,0.0,0,1997035,499258.75,587925.3999999999,4
compute,8,Mar08_221120_1837392,2.229752,118,4,0,0,0.0,0.0,0,1997630,499407.5,589005.7,4
compute,8,Mar08_221120_1837392,2.229752,119,4,0,0,0.0,0.0,0,1993187,498296.75,587035.85,4
compute,8,Mar08_221120_1837392,2.229752,120,4,0,0,0.0,0.0,0,1995042,498760.5,590040.5499999999,4
compute,8,Mar08_221120_1837392,2.229752,121,4,0,0,0.0,0.0,0,1981367,495341.75,587209.5499999999,4
compute,8,Mar08_221120_1837392,2.229752,122,4,0,0,0.0,0.0,0,1995882,498970.5,589626.2,4
compute,8,Mar08_221120_1837392,2.229752,123,4,0,0,0.0,0.0,0,1997602,499400.5,588221.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,124,4,0,0,0.0,0.0,0,1989084,497271.0,588420.1499999999,4
compute,8,Mar08_221120_1837392,2.229752,125,4,0,0,0.0,0.0,0,1971564,492891.0,586853.0,4
compute,8,Mar08_221120_1837392,2.229752,126,4,0,0,0.0,0.0,0,1978369,494592.25,587831.35,4
compute,8,Mar08_221120_1837392,2.229752,127,4,0,0,0.0,0.0,0,1975237,493809.25,587008.0499999999,4
compute,8,Mar08_221120_1837392,2.236515,0,4,0,0,0.0,0.0,0,1992916,498229.0,587332.0,4
compute,8,Mar08_221120_1837392,2.236515,1,4,0,0,0.0,0.0,0,2000000,500000.0,584535.95,4
compute,8,Mar08_221120_1837392,2.236515,2,4,0,0,0.0,0.0,0,1965304,491326.0,586558.85,4
compute,8,Mar08_221120_1837392,2.236515,3,4,0,0,0.0,0.0,0,2005995,501498.75,585020.0499999999,4
compute,8,Mar08_221120_1837392,2.236515,4,4,0,0,0.0,0.0,0,1973194,493298.5,584997.75,4
compute,8,Mar08_221120_1837392,2.236515,5,4,0,0,0.0,0.0,0,1998153,499538.25,584130.25,4
compute,8,Mar08_221120_1837392,2.236515,6,4,0,0,0.0,0.0,0,1973556,493389.0,584921.8999999999,4
compute,8,Mar08_221120_1837392,2.236515,7,4,0,0,0.0,0.0,0,1992302,498075.5,584267.2,4
compute,8,Mar08_221120_1837392,2.236515,8,4,0,0,0.0,0.0,0,1981047,495261.75,586055.1499999999,4
compute,8,Mar08_221120_1837392,2.236515,9,4,0,0,0.0,0.0,0,2007922,501980.5,585030.7999999999,4
compute,8,Mar08_221120_1837392,2.236515,10,4,0,0,0.0,0.0,0,1976265,494066.25,591014.85,4
compute,8,Mar08_221120_1837392,2.236515,11,4,0,0,0.0,0.0,0,2002050,500512.5,585332.0499999999,4
compute,8,Mar08_221120_1837392,2.236515,12,4,0,0,0.0,0.0,0,1983136,495784.0,587451.6499999999,4
compute,8,Mar08_221120_1837392,2.236515,13,4,0,0,0.0,0.0,0,2002531,500632.75,585063.2999999999,4
